,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
112,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Course 1 of 3 in the,English,Intermediate Level,https://www.coursera.org/learn/cs-fundamentals-1,,,,,,,
113,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Beginner Level,https://www.coursera.org/learn/gcp-big-data-ml-fundamentals,,,,,,,,
114,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Beginner Level,English,Approx. 39 hours to complete,https://www.coursera.org/learn/sql-data-science,,,,,,,
115,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Course 3 of 4 in the,Intermediate Level,English,Approx. 24 hours to complete,https://www.coursera.org/learn/natural-language-processing-tensorflow,,,,,,
116,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Advanced Level,https://www.coursera.org/learn/advanced-valuation-and-strategy,,,,,,,,
117,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Course 2 of 4 in the,Intermediate Level,English,Approx. 31 hours to complete,https://www.coursera.org/learn/probabilistic-models-in-nlp,,,,,,
118,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Approx. 14 hours to complete,https://www.coursera.org/learn/vital-signs,,,,,,,,
119,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Approx. 6 hours to complete,https://www.coursera.org/learn/research-methods,,,,,,,,
120,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Beginner Level,https://www.coursera.org/learn/ibm-customer-engagement-specialist,,,,,,,,
121,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Intermediate Level,https://www.coursera.org/learn/introduction-to-calculus,,,,,,,,
122,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Spanish,Beginner Level,https://www.coursera.org/learn/camino-excelencia-gestion-proyectos,,,,,,,,
123,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Course 1 of 5 in the,English,Approx. 13 hours to complete,https://www.coursera.org/learn/html,,,,,,,
124,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Beginner Level,https://www.coursera.org/learn/wine,,,,,,,,
125,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Course 2 of 4 in the,English,Intermediate Level,https://www.coursera.org/learn/excel-intermediate-1,,,,,,,
126,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Course 1 of 5 in the,English,Beginner Level,https://www.coursera.org/learn/duke-programming-web,,,,,,,
127,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Approx. 44 hours to complete,https://www.coursera.org/learn/build-a-computer,,,,,,,,
128,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Approx. 13 hours to complete,https://www.coursera.org/learn/food-beverage-management,,,,,,,,
129,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Beginner Level,English,Approx. 14 hours to complete,https://www.coursera.org/learn/data-analysis-with-python,,,,,,,
130,Week 3: Classification,Shareable Certificate,Course 2 of 4 in the,English,100% online,https://www.coursera.org/learn/project-planning-1,,,,,,,,,
131,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Beginner Level,English,Approx. 9 hours to complete,https://www.coursera.org/learn/uva-darden-getting-started-agile,,,,,,,
132,Week 3: Classification,https://www.coursera.org/learn/aws-fundamentals-going-cloud-native,,,,,,,,,,,,,
133,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Course 1 of 5 in the,Beginner Level,English,Approx. 27 hours to complete,https://www.coursera.org/learn/construction-project-management,,,,,,
134,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Intermediate Level,https://www.coursera.org/learn/mathematical-thinking,,,,,,,,
135,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Beginner Level,https://www.coursera.org/learn/everyday-parenting,,,,,,,,
136,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Course 1 of 5 in the,English,Beginner Level,https://www.coursera.org/learn/intro-to-healthcare,,,,,,,
137,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Intermediate Level,English,Approx. 13 hours to complete,https://www.coursera.org/learn/machine-learning-with-python,,,,,,,
138,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Beginner Level,English,Approx. 20 hours to complete,https://www.coursera.org/learn/terrorism,,,,,,,
139,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Beginner Level,https://www.coursera.org/learn/clinical-data-management,,,,,,,,
140,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Beginner Level,https://www.coursera.org/learn/sustainable-fashion,,,,,,,,
141,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Beginner Level,English,Approx. 29 hours to complete,https://www.coursera.org/learn/data-science-k-means-clustering-python,,,,,,,
142,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Approx. 13 hours to complete,https://www.coursera.org/learn/instructional-design-foundations-applications,,,,,,,,
143,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Spanish,Beginner Level,https://www.coursera.org/learn/enlinea,,,,,,,,
144,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Course 1 of 4 in the,English,Beginner Level,https://www.coursera.org/learn/modern-art-ideas,,,,,,,
145,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Course 2 of 4 in the,English,Approx. 16 hours to complete,https://www.coursera.org/learn/speak-english-professionally,,,,,,,
