,rating,url
1430,warning alert,https://www.udemy.com/history-of-design-abc/
1431,Rating: 4.0 out of 5,https://www.udemy.com/photoshop-superhero/
1432,https://www.udemy.com/illustrator-cc-real-world-projects-for-beginners/,
1433,Rating: 3.2 out of 5,https://www.udemy.com/complete-portrait-and-figure-drawing-step-by-step/
1434,information alert,https://www.udemy.com/logo-design-in-adobe-illustrator/
1435,information alert,https://www.udemy.com/stunning-images-for-social-media-with-canva/
1436,Rating: 4.8 out of 5,https://www.udemy.com/become-a-professional-logo-designer-w/
1437,warning alert,https://www.udemy.com/photoshop-actions-increase-your-efficiency/
1438,Rating: 4.4 out of 5,https://www.udemy.com/photoshop-masking/
1439,Rating: 4.3 out of 5,https://www.udemy.com/mastering-photoshop-elements-13-made-easy-training-tutorial/
1440,warning alert,https://www.udemy.com/become-a-graphic-designer-and-earn-a-living-from-it/
1441,Rating: 4.5 out of 5,https://www.udemy.com/3dmotive-learn-2d-cell-shading-in-photoshop/
1442,Rating: 3.8 out of 5,https://www.udemy.com/how-to-create-your-own-steampunk-vehicle-part-1/
1443,warning alert,https://www.udemy.com/digital-drawing-in-photoshop/
1444,Rating: 4.9 out of 5,https://www.udemy.com/quickly-batch-export-package-logo-files-for-clients/
1445,information alert,https://www.udemy.com/logo-design-for-everybody/
1446,Rating: 4.4 out of 5,https://www.udemy.com/create-icons-and-shapes-from-scratch-using-pixelmator/
1447,information alert,https://www.udemy.com/creating-an-animated-greeting-card-via-google-slides-3/
1448,information alert,https://www.udemy.com/flat-design-flat-ui-design-flat-colors-flat-design-office-space/
1449,Rating: 4.7 out of 5,https://www.udemy.com/flat-design-graphics-photoshop/
1450,Rating: 4.2 out of 5,https://www.udemy.com/t-shirt-design-workshop-01-foundation/
1451,warning alert,https://www.udemy.com/mastering-shapes-creation-in-illustrator/
1452,Rating: 4.7 out of 5,https://www.udemy.com/logoportfolio/
1453,warning alert,https://www.udemy.com/digital-portrait-painting/
1454,Rating: 3.7 out of 5,https://www.udemy.com/how-to-design-simple-promotional-materials-in-photoshop/
1455,Rating: 4.1 out of 5,https://www.udemy.com/design-and-animate-a-gamer-ui/
1456,Rating: 4.3 out of 5,https://www.udemy.com/learn-blender-3d-the-materials-and-texture-course/
1457,information alert,https://www.udemy.com/design-facebook-covers-in-powerpoint/
1458,Rating: 4.4 out of 5,https://www.udemy.com/viral-images-pinterest-facebook-instagram/
1459,Rating: 4.0 out of 5,https://www.udemy.com/create-quick-easy-original-illustrations-in-illustrator/
1460,Rating: 4.0 out of 5,https://www.udemy.com/learn-to-design-a-logo-in-adobe-illustrator/
1461,Rating: 4.2 out of 5,https://www.udemy.com/photoshop-tools/
1462,information alert,https://www.udemy.com/logo_para_principiantes/
1463,information alert,https://www.udemy.com/spannende-after-effects-techniken/
1464,warning alert,https://www.udemy.com/introduccion-al-retrato-realista-con-photoshop/
1465,warning alert,https://www.udemy.com/uso-basico-de-adobe-photoshop/
1466,warning alert,https://www.udemy.com/tecnicas-photoshop-reformar-campo-de-golf/
1467,警告,https://www.udemy.com/adobe-illustrator-cs5-k/
1468,警告,https://www.udemy.com/adobe-photoshop-cs5-k/
1469,warning alert,https://www.udemy.com/microstation-niveles/
1470,warning alert,https://www.udemy.com/crea-personajes-fantasticos-con-photoshop/
1471,warning alert,https://www.udemy.com/letras-en-adobe-illustrator/
1472,warning alert,https://www.udemy.com/photoshop-creando-elemental-de-aire/
1473,warning alert,https://www.udemy.com/microstation-celulas/
1474,warning alert,https://www.udemy.com/nuke-x-aprende-composicion-digital/
1475,ประกาศเตือน,https://www.udemy.com/adobe-illustrator-mobile-app-codemobiles-thai/
1476,warning alert,https://www.udemy.com/photoshop-creando-elemental-de-agua/
1477,評価: 4.8（5段階中）,https://www.udemy.com/7-adobe-illustrator/
1478,information alert,https://www.udemy.com/photoshopcurso1/
1479,warning alert,https://www.udemy.com/intro-to-illustrator/
1480,評価: 3.7（5段階中）,https://www.udemy.com/layeqrqk/
1481,"Classificação: 4,3 de 5",https://www.udemy.com/adobe-photoshop-scripting/
1482,Rating: 3.9 out of 5,https://www.udemy.com/illustrator-basics/
1483,"Puan: 4,6 / 5",https://www.udemy.com/coreldraw-x8-temel-egitimi-yeni/
1484,"Note : 4,3 sur 5",https://www.udemy.com/formation-photoshop/
1485,information alert,https://www.udemy.com/professionelle-3d-modelle-leicht-verstandlich-erstellen/
1486,information alert,https://www.udemy.com/how-to-adobe-photoshop-clipping-mask-layer-tutorial-images-photoshop/
1487,Rating: 4.3 out of 5,https://www.udemy.com/a-genius-guide-become-photoshop-smarty-with-smart-objects/
1488,information alert,https://www.udemy.com/portrait-typography-in-photoshop-anyone-can-do-typography/
1489,Rating: 4.2 out of 5,https://www.udemy.com/mastering-beauty-retouching-and-photo-restoration/
1490,information alert,https://www.udemy.com/make-flat-design-trees-in-adobe-illustrator-in-30-minutes/
1491,information alert,https://www.udemy.com/photoshopfantastic/
1492,https://www.udemy.com/how-to-draw-in-powerpoint/,
1493,Rating: 4.4 out of 5,https://www.udemy.com/canva-marketing/
1494,Rating: 4.1 out of 5,https://www.udemy.com/typography-tips/
1495,Rating: 4.7 out of 5,https://www.udemy.com/adobe-illustrator-advance-vector-artwork/
1496,Rating: 4.0 out of 5,https://www.udemy.com/web-elements-design-with-photoshop/
1497,Rating: 4.8 out of 5,https://www.udemy.com/logodesignmadeeasy/
1498,"Bewertung: 3,9 von 5",https://www.udemy.com/typographie-schriftarten/
1499,"Classificação: 4,0 de 5",https://www.udemy.com/saibala-lettering/
1500,"Classificação: 4,7 de 5",https://www.udemy.com/coreldrawx7/
1501,Rating: 4.4 out of 5,https://www.udemy.com/photoshop-cc-fundamentos/
1502,Rating: 4.5 out of 5,https://www.udemy.com/curso-de-diseno-e-ilustracion-de-armas-para-videojuegos/
1503,alerta de aviso,https://www.udemy.com/curso-de-photoshop-composicao-vintage/
1504,"Calificación: 4,6 de 5",https://www.udemy.com/curso-photoshop-automatiza-invitaciones-bloc-de-notas-excel/
1505,Warnmeldung,https://www.udemy.com/illustrator-cc-2016-power-workshops-deutsch/
1506,"Classificação: 3,8 de 5",https://www.udemy.com/blender-3d-curso-completo/
1507,"Calificación: 4,3 de 5",https://www.udemy.com/diseno-impreso/
1508,Rating: 3.7 out of 5,https://www.udemy.com/los-fundamentos-de-la-tipografia/
1509,Rating: 4.2 out of 5,https://www.udemy.com/illustrator-arabic/
1510,Rating: 4.5 out of 5,https://www.udemy.com/designing-an-ebook-cover/
1511,information alert,https://www.udemy.com/master-terrazzo/
1512,information alert,https://www.udemy.com/catch-the-sunset/
1513,Rating: 5.0 out of 5,https://www.udemy.com/learn-to-create-wicked-logo-designs-in-illustrator-quickly/
1514,information alert,https://www.udemy.com/create-autumn-leaf-brushes/
1515,Rating: 3.3 out of 5,https://www.udemy.com/quick-and-quirky-caricatures/
1516,warning alert,https://www.udemy.com/finalize-production-files/
1517,warning alert,https://www.udemy.com/how-to-illustrate-in-flash/
