name,institution,is_university,level,students,rating,first_review_on
what is social?,northwestern university,1,mixed,94000,4.6,2015-09-17
ux design fundamentals,california institute of the arts,1,beginner,25000,4.8,2018-11-14
creative thinking: techniques and tools for success,imperial college london,1,-,0,4.7,2020-02-19
introduction to classical music,yale university,1,mixed,150000,4.9,2015-12-16
children's human rights - an interdisciplinary introduction,university of geneva,1,-,0,4.6,2017-01-08
investment management in an evolving and volatile world by hec paris and axa investment managers,hec paris,1,-,0,4.6,2016-04-14
introduction to data analysis using excel,rice university,1,mixed,99000,4.7,2016-09-26
mind control: managing your mental health during covid-19,university of toronto,1,-,0,4.8,2020-03-28
introduction to international criminal law,case western reserve university,1,mixed,82000,4.8,2015-08-07
"fintech: foundations, payments, and regulations",university of pennsylvania,1,beginner,12000,4.6,2019-06-05
greek and roman mythology,university of pennsylvania,1,mixed,260000,4.8,2016-02-26
politics and economics of international energy,sciences po,1,beginner,34000,4.7,2016-05-09
continuous delivery & devops,university of virginia,1,beginner,26000,4.5,2018-11-03
teach english now! foundational principles,arizona state university,1,mixed,81000,4.9,2015-10-12
business model innovation,hec paris,1,mixed,13000,4.7,2016-05-12
introduction to user experience principles and processes,university of michigan,1,beginner,16000,4.8,2018-12-12
beyond the sustainable development goals (sdgs): addressing sustainability and development,university of michigan,1,mixed,2300,4.8,2020-04-24
process mining: data science in action,eindhoven university of technology,1,intermediate,39000,4.8,2016-04-24
fundamentals of immunology: innate immunity and b-cell function,rice university,1,intermediate,18000,4.8,2019-02-06
introduction to corporate finance,university of pennsylvania,1,mixed,130000,4.4,2015-11-09
global diplomacy: the united nations in the world,university of london,1,-,0,4.7,2017-06-24
algorithmic toolbox,university of california san diego,1,intermediate,220000,4.5,2016-02-17
troubles du spectre de l'autisme : diagnostic,university of geneva,1,intermediate,5400,4.8,2020-01-03
anatomy: musculoskeletal and integumentary systems,university of michigan,1,beginner,20000,4.9,2019-01-28
a crash course in causality:  inferring causal effects from observational data,university of pennsylvania,1,intermediate,17000,4.7,2017-07-01
english for business and entrepreneurship,university of pennsylvania,1,beginner,230000,4.9,2016-05-15
natural language processing with attention models,deeplearning.ai,0,-,0,3.3,2020-09-25
what is compliance?,university of pennsylvania,1,mixed,6200,4.8,2019-04-10
getting started with google sheets,google cloud,0,beginner,18000,4.7,2019-11-05
data visualization with python,ibm,0,intermediate,66000,4.1,2018-06-16
foundations of mindfulness,rice university,1,-,0,4.8,2020-07-09
negociación exitosa: estrategias y habilidades esenciales (en español),university of michigan,1,mixed,95000,4.8,2015-08-10
data-driven decision making,pwc,0,beginner,120000,4.5,2016-08-24
fundamentals of engineering exam review,georgia institute of technology,1,mixed,49000,4.4,2015-09-29
gender and sexuality: diversity and inclusion in the workplace,university of pittsburgh,1,beginner,14000,4.7,2017-06-21
managerial accounting fundamentals,university of virginia,1,beginner,11000,4.9,2018-03-29
search engine optimization fundamentals,"university of california, davis",1,mixed,47000,4.7,2016-04-01
essentials of global health,yale university,1,mixed,31000,4.9,2016-12-05
international security management,erasmus university rotterdam,1,beginner,2200,4.6,2020-02-17
getting started with aws machine learning,amazon web services,0,intermediate,73000,4.4,2019-09-22
arts and heritage management,università bocconi,1,mixed,15000,4.8,2016-11-18
understanding einstein: the special theory of relativity,stanford university,1,beginner,89000,4.9,2016-09-24
réussir le changement,essec business school,1,mixed,33000,4.4,2016-03-04
equine welfare and management,"university of california, davis",1,beginner,7200,4.9,2018-07-24
international migrations: a global issue,sciences po,1,beginner,11000,4.3,2018-02-21
introduction to web development,"university of california, davis",1,beginner,76000,4.7,2016-09-28
writing and editing: word choice and word order,university of michigan,1,-,0,4.8,2020-05-25
introduction to the digital advertising landscape,university of colorado boulder,1,-,0,4.5,2020-01-14
access controls,(isc)²,0,beginner,2900,4.6,2018-04-19
engineering project management: initiating and planning,rice university,1,beginner,23000,4.8,2017-06-18
kotlin for java developers,jetbrains,0,intermediate,37000,4.5,2018-10-25
mathematics for machine learning: multivariate calculus,imperial college london,1,beginner,51000,4.7,2018-03-12
introduction to git and github,google,0,-,0,4.8,2020-01-22
industrial biotechnology,university of manchester,1,-,0,4.6,2017-07-27
the addicted brain,emory university,1,beginner,130000,4.5,2015-08-09
introducción a la programación en python i: aprendiendo a programar con python,pontificia universidad católica de chile,1,beginner,100000,4.2,2017-07-28
