name,students,course_type,institution,is_university,level,subject,hours_per_week,weeks,total_effort,price
ielts academic test preparation,1103777,self-paced on your time,the university of queensland,1,beginner,communication,7.5,8.0,60.0,99
the architectural imagination,406181,self-paced on your time,harvard university,1,beginner,architecture,4.0,10.0,40.0,99
toefl® test preparation: the insider’s guide,1022489,self-paced on your time,educational testing service,0,beginner,communication,3.0,6.0,18.0,49
principles of biochemistry,257600,self-paced on your time,harvard university,1,intermediate,medicine,5.0,15.0,75.0,199
using python for research,262183,self-paced on your time,harvard university,1,intermediate,computer science,3.0,12.0,36.0,99
hinduism through its scriptures,140782,self-paced on your time,harvard university,1,beginner,humanities,7.5,4.0,30.0,99
basic spanish 1: getting started,400169,self-paced on your time,universitat politècnica de valencia,0,beginner,communication,4.5,7.0,31.5,40
the health effects of climate change,110024,self-paced on your time,harvard university,1,beginner,environmental studies,4.0,7.0,28.0,99
inglés básico: conversacional y networking,79671,self-paced on your time,universidades anáhuac,1,beginner,business & management,6.5,4.0,26.0,49
statistics and r,314586,self-paced on your time,harvard university,1,intermediate,data analysis & statistics,3.0,4.0,12.0,249
science & cooking: from haute cuisine to soft matter science (chemistry),145011,self-paced on your time,harvard university,1,beginner,chemistry,2.5,16.0,40.0,199
pyramids of giza: ancient egyptian art and archaeology,123870,self-paced on your time,harvard university,1,beginner,art & culture,3.0,8.0,24.0,99
"predictionx: omens, oracles & prophecies",91566,self-paced on your time,harvard university,1,beginner,social sciences,4.0,1.0,4.0,25
excel: fundamentos y herramientas,284279,self-paced on your time,universitat politècnica de valencia,0,beginner,computer science,3.5,8.0,28.0,50
lessons from ebola: preventing the next pandemic,91983,self-paced on your time,harvard university,1,beginner,social sciences,4.0,4.0,16.0,49
improving global health: focusing on quality and safety,127353,self-paced on your time,harvard university,1,intermediate,social sciences,3.0,10.0,30.0,99
cs50 for lawyers,87336,self-paced on your time,harvard university,1,beginner,computer science,4.5,10.0,45.0,99
data science: visualization,171258,self-paced on your time,harvard university,1,beginner,data analysis & statistics,1.5,8.0,12.0,49
christianity through its scriptures,125051,self-paced on your time,harvard university,1,beginner,humanities,7.5,4.0,30.0,99
the science of happiness,475614,self-paced on your time,"university of california, berkeley",1,beginner,social sciences,4.5,11.0,49.5,169
leaders of learning,231131,self-paced on your time,harvard university,1,beginner,communication,3.0,10.0,30.0,99
exercising leadership: foundational principles,57814,self-paced on your time,harvard university,1,beginner,business & management,2.5,4.0,10.0,99
data science: probability,135859,self-paced on your time,harvard university,1,beginner,data analysis & statistics,1.5,8.0,12.0,49
introduction to data wise: a collaborative process to improve learning & teaching,117410,self-paced on your time,harvard university,1,intermediate,education & teacher training,1.5,10.0,15.0,70
"prescription drug regulation, cost, and access: current controversies in context",80082,self-paced on your time,harvard university,1,beginner,medicine,3.5,8.0,28.0,99
introduction to family engagement in education,105146,self-paced on your time,harvard university,1,beginner,education & teacher training,3.0,6.0,18.0,70
italian language and culture: beginner (2019-2020),182462,self-paced on your time,wellesley college,1,beginner,language,3.5,12.0,42.0,49
steps in japanese for beginners1 part1,53630,self-paced on your time,waseda university,1,beginner,language,4.0,5.0,20.0,49
how to write an essay,306787,self-paced on your time,"university of california, berkeley",1,beginner,humanities,5.5,5.0,27.5,49
energy within environmental constraints,95324,self-paced on your time,harvard university,1,beginner,environmental studies,4.0,10.0,40.0,99
introduction to probability,97291,self-paced on your time,harvard university,1,intermediate,data analysis & statistics,7.5,10.0,75.0,99
anatomyx: musculoskeletal cases,102075,self-paced on your time,harvard university,1,intermediate,medicine,4.5,7.0,31.5,99
data science: inference and modeling,88256,self-paced on your time,harvard university,1,beginner,data analysis & statistics,1.5,8.0,12.0,49
strengthening community health worker programs,58626,self-paced on your time,harvard university,1,beginner,health & safety,3.0,6.0,18.0,79
buddhism through its scriptures,182295,self-paced on your time,harvard university,1,beginner,humanities,7.5,4.0,30.0,99
introduction to linux,642088,self-paced on your time,the linux foundation,0,beginner,computer science,6.0,14.0,84.0,199
"bioethics: the law, medicine, and ethics of reproductive technologies and genetics",81221,self-paced on your time,harvard university,1,beginner,medicine,1.5,10.0,15.0,99
shakespeare's life and work,48938,self-paced on your time,harvard university,1,beginner,humanities,6.0,4.0,24.0,49
marketing digital: content & community manager,112623,self-paced on your time,universidad galileo,1,beginner,communication,3.5,5.0,17.5,49
accounting and finance,88243,self-paced on your time,indian institute of management bangalore,1,intermediate,business & management,3.0,11.0,33.0,150
computing in python i: fundamentals and procedural programming,141966,self-paced on your time,the georgia institute of technology,1,beginner,computer science,9.5,5.0,47.5,99
"nutrition, exercise and sports",51679,self-paced on your time,wageningen university & research,1,intermediate,food & nutrition,6.0,6.0,36.0,49
becoming an entrepreneur,104760,self-paced on your time,massachusetts institute of technology,1,beginner,business & management,2.0,6.0,12.0,69
"religion, conflict and peace",74060,self-paced on your time,harvard university,1,beginner,humanities,6.0,8.0,48.0,49
"tangible things: discovering history through artworks, artifacts, scientific specimens, and the stuff around you",61139,self-paced on your time,harvard university,1,beginner,humanities,2.0,10.0,20.0,49
academic and business writing,322701,self-paced on your time,"university of california, berkeley",1,beginner,communication,4.0,6.0,24.0,49
data science: capstone,62803,self-paced on your time,harvard university,1,beginner,data analysis & statistics,17.5,2.0,35.0,99
basics of computing and programming,37045,self-paced on your time,new york university,1,beginner,computer science,7.0,9.0,63.0,200
"fundamentals of neuroscience, part 2: neurons and networks",84874,self-paced on your time,harvard university,1,beginner,biology & life sciences,4.0,6.0,24.0,99
successful negotiation: essential strategies and skills,31369,self-paced on your time,the university of michigan,1,beginner,business & management,3.0,7.0,21.0,49
data science: linear regression,75310,self-paced on your time,harvard university,1,beginner,data analysis & statistics,1.5,8.0,12.0,49
